기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240501,07,GM00000026,1,2,Y
20240501,07,GM00000026,2,2,Y
20240501,07,GM00000028,1,73,Y
20240501,07,GM00000028,2,49,Y
20240501,07,GM00000030,1,2,Y
20240501,07,GM00000030,2,3,Y
20240501,07,GM00000031,1,592,Y
20240501,07,GM00000031,2,245,Y
20240501,07,GM00000032,1,481,Y
20240501,07,GM00000032,2,284,Y
20240501,07,GM00000033,1,123,Y
20240501,07,GM00000033,2,79,Y
20240501,07,GM00000034,1,167,Y
20240501,07,GM00000035,1,803,Y
20240501,07,GM00000035,2,565,Y
20240501,07,GM00000036,1,669,Y
20240501,07,GM00000036,2,713,Y
20240501,07,GM00000037,1,46,Y
20240501,07,GM00000038,1,1238,Y
20240501,07,GM00000038,2,645,Y
20240501,07,GM00000039,1,98,Y
20240501,07,GM00000039,2,25,Y
20240501,07,GM00000040,1,1,Y
20240501,07,GM00000040,2,8,Y
20240501,07,GM00000041,1,2,Y
20240501,07,GM00000041,2,2,Y
20240501,07,GM00000043,1,183,Y
20240501,07,GM00000043,2,118,Y
20240501,07,GM00000044,1,108,Y
20240501,07,GM00000044,2,64,Y
20240501,07,GM00000045,1,255,Y
20240501,07,GM00000045,2,121,Y
20240501,08,GM00000001,1,329,Y
20240501,08,GM00000001,2,139,Y
20240501,08,GM00000002,1,696,Y
20240501,08,GM00000002,2,440,Y
20240501,08,GM00000003,1,135,Y
20240501,08,GM00000003,2,85,Y
20240501,08,GM00000004,1,41,Y
20240501,08,GM00000004,2,33,Y
20240501,08,GM00000005,1,50,Y
20240501,08,GM00000005,2,13,Y
20240501,08,GM00000006,1,20,Y
20240501,08,GM00000007,1,1664,Y
20240501,08,GM00000007,2,1194,Y
20240501,08,GM00000008,1,25,Y
20240501,08,GM00000008,2,26,Y
20240501,08,GM00000009,1,57,Y
20240501,08,GM00000009,2,4,Y
20240501,08,GM00000010,1,751,Y
20240501,08,GM00000010,2,819,Y
20240501,08,GM00000011,1,118,Y
20240501,08,GM00000011,2,76,Y
20240501,08,GM00000012,1,1082,Y
20240501,08,GM00000012,2,394,Y
20240501,08,GM00000014,1,33,Y
20240501,08,GM00000014,2,26,Y
20240501,08,GM00000015,1,1033,Y
20240501,08,GM00000015,2,1360,Y
20240501,08,GM00000016,1,50,Y
20240501,08,GM00000016,2,62,Y
20240501,08,GM00000017,1,700,Y
20240501,08,GM00000017,2,352,Y
20240501,08,GM00000019,1,639,Y
20240501,08,GM00000019,2,464,Y
20240501,08,GM00000020,1,1360,Y
20240501,08,GM00000020,2,1311,Y
20240501,08,GM00000021,1,430,Y
20240501,08,GM00000021,2,325,Y
20240501,08,GM00000022,1,617,Y
20240501,08,GM00000022,2,459,Y
20240501,08,GM00000023,1,1253,Y
20240501,08,GM00000023,2,705,Y
20240501,08,GM00000024,1,12,Y
20240501,08,GM00000024,2,5,Y
20240501,08,GM00000025,1,3,Y
20240501,08,GM00000025,2,6,Y
20240501,08,GM00000026,1,4,Y
20240501,08,GM00000026,2,2,Y
20240501,08,GM00000027,1,2,Y
20240501,08,GM00000028,1,84,Y
20240501,08,GM00000028,2,66,Y
20240501,08,GM00000029,1,2,Y
20240501,08,GM00000029,2,2,Y
20240501,08,GM00000030,1,1,Y
20240501,08,GM00000030,2,6,Y
20240501,08,GM00000031,1,654,Y
20240501,08,GM00000031,2,314,Y
20240501,08,GM00000032,1,512,Y
20240501,08,GM00000032,2,349,Y
20240501,08,GM00000033,1,130,Y
20240501,08,GM00000033,2,99,Y
20240501,08,GM00000034,1,174,Y
20240501,08,GM00000035,1,926,Y
20240501,08,GM00000035,2,621,Y
20240501,08,GM00000036,1,635,Y
20240501,08,GM00000036,2,801,Y
20240501,08,GM00000037,1,34,Y
20240501,08,GM00000038,1,1278,Y
20240501,08,GM00000038,2,740,Y
20240501,08,GM00000039,1,83,Y
20240501,08,GM00000039,2,15,Y
20240501,08,GM00000040,1,1,Y
20240501,08,GM00000040,2,5,Y
20240501,08,GM00000043,1,196,Y
20240501,08,GM00000043,2,156,Y
20240501,08,GM00000044,1,132,Y
20240501,08,GM00000044,2,71,Y
20240501,08,GM00000045,1,253,Y
20240501,08,GM00000045,2,132,Y
20240501,09,GM00000001,1,335,Y
20240501,09,GM00000001,2,161,Y
20240501,09,GM00000002,1,787,Y
20240501,09,GM00000002,2,444,Y
20240501,09,GM00000003,1,123,Y
20240501,09,GM00000003,2,94,Y
20240501,09,GM00000004,1,30,Y
20240501,09,GM00000004,2,26,Y
20240501,09,GM00000005,1,49,Y
20240501,09,GM00000005,2,28,Y
20240501,09,GM00000006,1,23,Y
20240501,09,GM00000007,1,1849,Y
20240501,09,GM00000007,2,1321,Y
20240501,09,GM00000008,1,37,Y
20240501,09,GM00000008,2,19,Y
20240501,09,GM00000009,1,19,Y
20240501,09,GM00000009,2,4,Y
20240501,09,GM00000010,1,875,Y
20240501,09,GM00000010,2,1023,Y
20240501,09,GM00000011,1,134,Y
20240501,09,GM00000011,2,53,Y
